  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.306 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6265   0.01165   0.00489   0.0119   1.0000   0.2242
  -4.900  -0.6180   0.01150   0.00481   0.0123   1.0000   0.2363
  -4.800  -0.6095   0.01137   0.00473   0.0127   1.0000   0.2487
  -4.700  -0.6008   0.01126   0.00465   0.0131   1.0000   0.2616
  -4.600  -0.5922   0.01113   0.00459   0.0135   1.0000   0.2747
  -4.500  -0.5836   0.01100   0.00453   0.0139   1.0000   0.2877
  -4.400  -0.5748   0.01089   0.00447   0.0143   1.0000   0.3005
  -4.300  -0.5659   0.01079   0.00442   0.0146   1.0000   0.3137
  -4.200  -0.5569   0.01069   0.00437   0.0149   1.0000   0.3271
  -4.100  -0.5478   0.01060   0.00433   0.0152   1.0000   0.3406
  -4.000  -0.5388   0.01051   0.00429   0.0155   1.0000   0.3538
  -3.900  -0.5297   0.01042   0.00426   0.0158   1.0000   0.3669
  -3.800  -0.5205   0.01034   0.00423   0.0161   1.0000   0.3802
  -3.700  -0.5060   0.01024   0.00419   0.0153   0.9987   0.3960
  -3.600  -0.4898   0.01013   0.00415   0.0141   0.9969   0.4124
  -3.500  -0.4735   0.01003   0.00411   0.0130   0.9952   0.4288
  -3.400  -0.4570   0.00995   0.00409   0.0117   0.9938   0.4450
  -3.300  -0.4418   0.00984   0.00404   0.0108   0.9915   0.4605
  -3.200  -0.4263   0.00974   0.00400   0.0098   0.9891   0.4760
  -3.100  -0.4103   0.00965   0.00397   0.0088   0.9870   0.4915
  -3.000  -0.3939   0.00956   0.00394   0.0076   0.9852   0.5072
  -2.900  -0.3771   0.00948   0.00391   0.0064   0.9836   0.5227
  -2.800  -0.3618   0.00938   0.00387   0.0055   0.9814   0.5375
  -2.700  -0.3476   0.00928   0.00384   0.0049   0.9783   0.5515
  -2.600  -0.3322   0.00919   0.00380   0.0040   0.9758   0.5659
  -2.500  -0.3160   0.00910   0.00377   0.0030   0.9737   0.5804
  -2.400  -0.2993   0.00902   0.00374   0.0019   0.9720   0.5947
