  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.229 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4117   0.01580   0.00821  -0.0386   0.9828   0.1004
  -4.900  -0.3984   0.01564   0.00803  -0.0391   0.9799   0.1048
  -4.800  -0.3840   0.01538   0.00779  -0.0399   0.9776   0.1097
  -4.700  -0.3685   0.01518   0.00764  -0.0409   0.9757   0.1153
  -4.600  -0.3522   0.01504   0.00747  -0.0420   0.9740   0.1215
  -4.500  -0.3361   0.01477   0.00728  -0.0431   0.9725   0.1286
  -4.400  -0.3191   0.01462   0.00712  -0.0444   0.9713   0.1366
  -4.300  -0.3046   0.01439   0.00697  -0.0452   0.9692   0.1447
  -4.200  -0.2922   0.01423   0.00682  -0.0454   0.9659   0.1529
  -4.100  -0.2778   0.01405   0.00669  -0.0462   0.9635   0.1626
  -4.000  -0.2624   0.01384   0.00656  -0.0471   0.9616   0.1734
  -3.900  -0.2463   0.01366   0.00642  -0.0482   0.9600   0.1855
  -3.800  -0.2296   0.01349   0.00630  -0.0494   0.9586   0.1991
  -3.700  -0.2126   0.01332   0.00617  -0.0507   0.9575   0.2139
  -3.600  -0.1954   0.01313   0.00606  -0.0520   0.9565   0.2296
  -3.500  -0.1865   0.01298   0.00598  -0.0516   0.9516   0.2417
  -3.400  -0.1722   0.01281   0.00588  -0.0523   0.9491   0.2575
  -3.300  -0.1565   0.01264   0.00578  -0.0533   0.9471   0.2750
  -3.200  -0.1402   0.01246   0.00567  -0.0543   0.9456   0.2935
  -3.100  -0.1241   0.01228   0.00556  -0.0554   0.9441   0.3129
  -3.000  -0.1081   0.01208   0.00545  -0.0564   0.9427   0.3330
  -2.900  -0.0920   0.01188   0.00534  -0.0574   0.9415   0.3545
  -2.800  -0.0840   0.01175   0.00529  -0.0567   0.9359   0.3718
  -2.700  -0.0710   0.01157   0.00520  -0.0571   0.9328   0.3944
  -2.600  -0.0572   0.01136   0.00510  -0.0576   0.9304   0.4195
  -2.500  -0.0429   0.01115   0.00500  -0.0582   0.9283   0.4482
  -2.400  -0.0288   0.01093   0.00491  -0.0587   0.9265   0.4798
  -2.300  -0.0195   0.01077   0.00487  -0.0582   0.9218   0.5083
